country_name,region_id,gdp,population
Niger,SSF,8106889865.0,8842415.0
Nigeria,SSF,456775000000.0,154402181.0
Nicaragua,LCN,11955466051.0,5737723.0
Netherlands,ECS,890136000000.0,16939923.0
Norway,ECS,472766000000.0,5188607.0
Nepal,SAS,19856634053.0,28982771.0
Nauru,EAS,125930267.7,13049.0
New Zealand,EAS,176129000000.0,4692700.0
Oman,MEA,75054356307.0,3960925.0
Pakistan,SAS,227867000000.0,193203476.0
Panama,LCN,44789036003.0,3969249.0
Peru,LCN,193653000000.0,30973354.0
Philippines,EAS,284349000000.0,103320222.0
Palau,EAS,225308048.6,21503.0
Papua New Guinea,EAS,19389192291.0,7755785.0
Poland,ECS,572132000000.0,37986412.0
Puerto Rico,LCN,93028633826.0,3473181.0
Portugal,ECS,231745000000.0,10401062.0
Paraguay,LCN,26400622643.0,6639119.0
West Bank and Gaza,MEA,11767216976.0,4046901.0
French Polynesia,EAS,,273528.0
Qatar,MEA,170663000000.0,2109568.0
Romania,ECS,200217000000.0,19815481.0
Russian Federation,ECS,1654430000000.0,143201676.0
Rwanda,SSF,8805014649.0,11917508.0
Saudi Arabia,MEA,690000000000.0,31557144.0
Sudan,SSF,76149479953.0,38647803.0
Senegal,SSF,16833353304.0,15411614.0
Singapore,EAS,299170000000.0,5607283.0
Solomon Islands,EAS,900859048.9,563513.0
Sierra Leone,SSF,3355384560.0,5439695.0
El Salvador,LCN,21588556542.0,6164626.0
San Marino,ECS,1746352442.0,33203.0
Somalia,SSF,,14317996.0
Serbia,ECS,41308012850.0,7095383.0
South Sudan,SSF,,11177490.0
São Tomé and Príncipe,SSF,256822056.3,191266.0
Suriname,LCN,4527379879.0,526103.0
Slovak Republic,ECS,104679000000.0,5423801.0
Slovenia,ECS,50511749002.0,2063531.0
Sweden,ECS,560387000000.0,9799186.0
Eswatini,SSF,5246492516.0,1343098.0
Sint Maarten (Dutch part),LCN,,37685.0
Seychelles,SSF,1287449683.0,88303.0
Syrian Arab Republic,MEA,,20824893.0
Turks and Caicos Islands,LCN,,34900.0
Chad,SSF,12642608725.0,11887202.0
Togo,SSF,4264876064.0,7228915.0
Thailand,EAS,407015000000.0,68657600.0
Tajikistan,ECS,8458800788.0,8177809.0
Turkmenistan,ECS,39563379206.0,5366277.0
Timor-Leste,EAS,3765074847.0,1268671.0
Tonga,EAS,406237705.3,104951.0
Trinidad and Tobago,LCN,21519942195.0,1328100.0
Tunisia,MEA,48682059522.0,11143908.0
Turkey,ECS,1122510000000.0,78271472.0
Tuvalu,EAS,39216157.28,11097.0
,EAS,,23400000.0
Tanzania,SSF,46775259596.0,49082997.0
Uganda,SSF,27483055272.0,35093648.0
Ukraine,ECS,124000000000.0,45004645.0
Uruguay,LCN,48362932954.0,3431552.0
United States,NAC,16920300000000.0,318563456.0
Uzbekistan,ECS,62469088152.0,29774500.0
St. Vincent and the Grenadines,LCN,729264939.6,109455.0
"Venezuela, RB",LCN,,29893080.0
British Virgin Islands,LCN,,20645.0
Virgin Islands (U.S.),LCN,,105784.0
Vietnam,EAS,164105000000.0,86932500.0
Vanuatu,EAS,777052317.5,270402.0
Samoa,EAS,738041747.0,187665.0
Kosovo,ECS,7129271792.0,1801800.0
"Yemen, Rep.",MEA,11927030389.0,27584213.0
South Africa,SSF,421209000000.0,51729345.36
Zambia,SSF,27037168289.0,14264756.0
